theDay,unixTs,capRealUSD
2023-06-01,1685577600,391807400237.4933
2023-06-04,1685836800,391955283293.5381
2023-06-12,1686528000,391920086802.7977
2024-02-17,1708128000,458778122942.2751
2020-07-06,1593993600,107421504971.0814
2020-07-16,1594857600,107830047727.3628
2023-01-18,1674000000,380813459078.7013
2023-02-09,1675900800,382868504465.4845
2023-06-15,1686787200,391790955287.4136
2023-06-21,1687305600,392551783309.7761
2023-07-07,1688688000,396105777205.605
2024-03-18,1710720000,528924608263.941
2024-06-01,1717200000,592856424533.0573
2020-05-20,1589932800,105157068569.3705
2020-06-15,1592179200,106396951196.991
2020-06-26,1593129600,107184653090.0714
2023-03-14,1678752000,382834047386.1021
2023-06-02,1685664000,391924479603.9864
2023-06-07,1686096000,392003597048.0293
2023-07-10,1688947200,396398240653.7409
2023-07-16,1689465600,397085868282.4016
2024-06-06,1717632000,597796039080.2184
2020-06-02,1591056000,105677138524.4665
2020-06-29,1593388800,107229864411.7017
2020-07-27,1595808000,108824377691.6603
2020-09-22,1600732800,115434400724.6792
2023-03-16,1678924800,383503448376.47864
2023-03-24,1679616000,385974772037.9026
2023-03-26,1679788800,386514377591.8343
2023-06-24,1687564800,393678634389.4507
2023-07-30,1690675200,395802638105.67114
2023-08-04,1691107200,395826510835.7446
2020-07-11,1594425600,107677269471.7592
2020-09-20,1600560000,115380387640.3401
2023-04-16,1681603200,385060909309.73627
2023-08-05,1691193600,395857282254.2449
2023-08-08,1691452800,396027728243.3907
2023-08-28,1693180800,395267806649.1692
2025-01-07,1736208000,818499901416.4998
2020-07-23,1595462400,108127096891.064
2020-08-02,1596326400,110043773477.5581
2020-09-04,1599177600,114805922864.7195
2020-10-29,1603929600,120997048979.6024
2023-04-17,1681689600,385202772703.6572
2023-05-13,1683936000,389595081441.2095
2023-07-28,1690502400,395757954135.903
2023-08-14,1691971200,396462573897.32
2023-09-06,1693958400,394795672374.0906
2023-09-19,1695081600,395404881013.5296
2023-10-08,1696723200,396337906364.3319
2020-08-16,1597536000,113034369674.2892
2020-10-10,1602288000,116446438697.8746
2020-10-17,1602892800,117084943110.7085
2020-10-23,1603411200,119473362075.9485
2020-10-26,1603670400,120002443461.5412
2020-11-15,1605398400,128962280427.0063
2023-05-20,1684540800,390278877591.5521
2023-05-30,1685404800,391715286485.8912
2023-09-15,1694736000,394880138074.9367
2023-10-10,1696896000,396491809707.3004
2020-09-21,1600646400,115322652879.8898
2020-11-08,1604793600,126591229395.8784
2020-11-13,1605225600,128601487322.8579
2020-10-14,1602633600,116879905926.0594
2023-03-30,1680134400,381382221374.4727
2023-10-24,1698105600,399815805755.8403
2023-11-26,1700956800,411470006934.0848
2020-11-18,1605657600,131553048843.1531
2020-11-05,1604534400,125358259278.6902
2020-12-17,1608163200,149095724936.9626
2023-04-04,1680566400,382325094058.3478
2023-07-02,1688256000,395977469436.2701
2023-07-05,1688515200,396438494285.3321
2023-08-06,1691280000,395910358068.0454
2023-10-30,1698624000,402244165624.5807
2023-11-28,1701129600,411960932858.6754
2024-01-10,1704844800,438852726563.1067
2024-01-13,1705104000,439406254994.2828
2020-11-14,1605312000,128818727351.8534
2020-11-17,1605571200,130269102056.6658
2020-12-02,1606867200,139748437370.6372
2021-01-22,1611273600,216452810223.7776
2023-04-08,1680912000,382735972861.4657
2023-08-20,1692489600,395773371544.315
2023-11-22,1700611200,410650532620.9028
2023-12-08,1701993600,419103790919.3639
2024-01-24,1706054400,444384264716.1334
2020-11-30,1606694400,138381987061.332
2020-12-03,1606953600,140349768894.2094
2021-01-08,1610064000,200127448285.0868
2021-02-02,1612224000,224458978158.4077
2021-02-10,1612915200,242177859274.245
2021-02-13,1613174400,247875653569.7925
2023-09-09,1694217600,394755396821.5793
2023-09-10,1694304000,394758337392.4784
2023-09-13,1694563200,394628739703.9923
2023-12-11,1702252800,419888123544.1943
2020-12-01,1606780800,139003059765.3167
2023-04-26,1682467200,385959735070.6809
2023-10-16,1697414400,396955572321.9967
2024-01-31,1706659200,447727759560.4035
2024-02-03,1706918400,448355560753.0348
2021-01-28,1611792000,219988025654.4655
2021-03-18,1616025600,308941346023.2755
2020-11-23,1606089600,134848829884.0584
2020-11-24,1606176000,135726210365.77
2021-03-21,1616284800,311613997845.4522
2021-03-28,1616889600,320520566028.664
2024-02-08,1707350400,450559387288.7765
2020-12-04,1607040000,140648608262.746
2021-02-14,1613260800,248892932107.7428
2023-04-27,1682553600,386173177733.1572
2023-04-29,1682726400,386540433628.6417
2021-05-06,1620259200,371500873809.498
2020-08-27,1598486400,114237608009.8622
2020-08-30,1598745600,114503990918.7496
2020-09-02,1599004800,114954523482.2366
2020-09-07,1599436800,114741483616.9758
2020-09-09,1599609600,114694689101.7669
2020-09-11,1599782400,114718490360.2253
2020-09-12,1599868800,114722567706.8038
2020-09-18,1600387200,115223436204.3048
2020-11-25,1606262400,136122926860.0918
2021-02-25,1614211200,279084345448.4884
2021-05-20,1621468800,372087739089.4842
2020-08-29,1598659200,114400086187.2023
2020-10-02,1601596800,115918505934.9096
2020-10-09,1602201600,116363756846.6182
2020-10-11,1602374400,116534765340.9193
2020-10-12,1602460800,116660462827.6112
2020-10-22,1603324800,119180984954.4591
2020-10-27,1603756800,120444774923.9503
2020-10-31,1604102400,121404599038.2904
2020-11-02,1604275200,121960611489.4068
2020-11-04,1604448000,124212204793.9384
2020-11-06,1604620800,125918164086.5082
2020-11-07,1604707200,125998523683.9579
2020-11-12,1605139200,128176333107.6119
2020-11-16,1605484800,129387729858.5073
2020-11-19,1605744000,131967443617.0368
2024-02-26,1708905600,465717812083.8637
2020-09-29,1601337600,115858909297.6835
2020-10-01,1601510400,115895895609.0089
2020-12-08,1607385600,141679908415.1427
2020-09-25,1600992000,115537359873.7919
